prompt,response,quality_rating,criteria,human_rater
Explain SQL injection and how to prevent it,SQL injection is prevented by encrypting your database.,1,Is the SQL injection explanation correct with concrete prevention measures?,david
Write a Python function to reverse a string,Use the reversed() built-in: ''.join(reversed(s)),4,Is the response correct and Pythonic?,alice
How do you write parameterized tests in pytest?,"import pytest

@pytest.mark.parametrize('input,expected', [
    (2, 4),
    (3, 9),
    (4, 16),
    (-1, 1),
    (0, 0),
])
def test_square(input, expected):
    assert square(input) == expected

# Generates 5 test cases from one test function",9,Is pytest parameterization explained correctly?,bob
What does the chmod command do and explain common permission modes,"Symbolic mode:
chmod u+x file       # add execute for owner
chmod g-w file       # remove write for group
chmod a+r file       # add read for all
chmod o-rwx file     # remove all for others
chmod u=rw,go=r file # set exact permissions

Octal vs symbolic:
chmod 755 = chmod u=rwx,go=rx
chmod 644 = chmod u=rw,go=r",8,Is the permission system correctly explained?,alice
What is a confusion matrix and what metrics can you derive from it?,"ROC curve: plot TPR (recall) vs FPR (1-specificity) at different thresholds.
AUC-ROC: 0.5 = random, 1.0 = perfect.
Good for comparing models regardless of threshold.

PR curve: plot precision vs recall at different thresholds.
Better for imbalanced datasets where AUC-ROC can be optimistic.",8,Are the confusion matrix and derived metrics explained correctly?,bob
What is infrastructure as code and why is it important?,IaC and configuration management are the same thing.,2,Is IaC explained correctly with key benefits?,eve
Explain the difference between a Docker image and a container,Containers are heavier than images because they run processes.,3,Is the image vs container distinction clearly and accurately explained?,david
How does prototypal inheritance work in JavaScript?,"JavaScript doesn't have real inheritance, only prototypes which are like copies.",1,Is the prototype chain explained correctly?,bob
What is the difference between git fetch and git pull?,git fetch downloads changes without merging. git pull downloads and merges.,5,Is the fetch vs pull distinction explained correctly?,carol
"What is the difference between let, const, and var in JavaScript?","var is the old way, let is the new way. const is for arrays.",3,Is the scoping and mutability distinction correct?,bob
What is infrastructure as code and why is it important?,IaC is only useful for companies with hundreds of servers.,1,Is IaC explained correctly with key benefits?,bob
Explain blue-green deployment and canary deployment,"Blue-Green Deployment:
Two identical production environments: Blue (current) and Green (new version).

1. Deploy new version to Green
2. Run smoke tests on Green
3. Switch load balancer to route traffic to Green
4. Blue becomes idle (instant rollback: switch back)

Pros: zero downtime, instant rollback
Cons: requires double the infrastructure",9,Are the deployment strategies explained correctly?,eve
Explain OAuth 2.0 and how it enables third-party authorization,OAuth 2.0 is an encryption standard for storing passwords.,3,Is the OAuth 2.0 flow explained correctly?,alice
What is connection pooling and why does it matter for database performance?,"Connection pool exhaustion:
Symptom: QueuePool limit overflow, TimeoutError
Causes: long transactions holding connections, too many app servers
Fix: shorter transactions, PgBouncer, increase pool size, scale horizontally

Always close connections/sessions properly:
with SessionLocal() as db:  # auto-closed
    ...",8,Is connection pooling explained correctly with practical guidance?,alice
What is transfer learning and why is it so powerful?,"Fine-tuning strategies:
1. Feature extraction: freeze pre-trained layers, only train new head.
   Fast, good when your data differs a lot from pre-training data.
2. Fine-tuning: unfreeze top N layers + train new head.
   Better when your data is similar to pre-training data.
3. Full fine-tuning: unfreeze all layers.
   Best with large in-domain dataset.
4. LoRA/QLoRA: low-rank adapters — fine-tune LLMs efficiently.",9,Is transfer learning explained correctly?,carol
What are window functions in SQL and give an example,Use window functions to filter rows from your query.,3,Is the window function concept explained correctly with a working example?,carol
Explain the difference between React useState and useReducer,"useReducer + Context = lightweight state management:
const StateContext = createContext();
function Provider({children}) {
  const [state, dispatch] = useReducer(reducer, initial);
  return <StateContext.Provider value={{state, dispatch}}>
    {children}
  </StateContext.Provider>;
}
// Replaces simple Redux use cases",10,Is the distinction between the hooks explained correctly?,alice
What is database sharding and when do you need it?,Horizontal database scaling. Data is partitioned by a key across multiple DB instances.,7,Is sharding explained correctly with appropriate caveats?,carol
Explain Python list comprehensions with an example,List comprehensions let you create lists in one line. Example: [x for x in range(5)],5,Is the explanation accurate and does the example work?,david
Explain the SOLID principles in software design,SOLID principles help write maintainable code. Each class should do one thing. Depend on abstractions.,7,Are the SOLID principles explained correctly with examples?,eve
Explain SQL injection and how to prevent it,"Testing for SQLi:
- Manual: append ', "", --, ;, OR 1=1
- Automated: sqlmap tool
- In code review: grep for string concatenation in SQL
- Static analysis: bandit (Python), SonarQube",8,Is the SQL injection explanation correct with concrete prevention measures?,bob
What is a Kubernetes Pod and how does it differ from a container?,You should always put all your containers in one Pod.,3,Is the Pod concept explained correctly?,carol
What is infrastructure as code and why is it important?,Tools like Terraform let you define your infrastructure in files and apply it reproducibly.,6,Is IaC explained correctly with key benefits?,bob
How do you handle environment variables and secrets in a Python application?,It's OK to commit .env files to private repositories.,3,Is the secrets management guidance correct and secure?,david
What is the difference between supervised and unsupervised learning?,In supervised learning you know the answers during training. In unsupervised you let the algorithm find patterns.,7,Is the distinction clear with good examples of each?,carol
What is Docker networking and how do containers communicate?,Docker containers can't communicate with each other without a proxy.,2,Is Docker networking explained correctly with practical examples?,carol
What is XSS and how do you prevent it in a web application?,XSS stands for Extra Secure Script.,3,Is the XSS explanation correct with practical prevention techniques?,eve
"Explain Kubernetes Deployments, Services, and Ingress",Deployments are for databases and Services are for web apps.,1,Are these three core Kubernetes resources explained correctly?,carol
What is a database view and when should you use one?,A view is a virtual table based on a SQL query. It simplifies complex queries.,6,Is the view concept explained correctly?,eve
How do you write a good commit message?,"Good vs bad messages:
Bad:
'fix bug'
'update'
'WIP'
'changes to auth'

Good:
'fix: handle expired tokens in refresh flow'
'feat: add batch export to CSV for analytics dashboard'
'refactor: replace polling with WebSocket for live updates'

Rule: would someone reading this in 2 years understand WHY this changed?",9,Is the commit message guidance practical and correct?,carol
Explain CI/CD and the difference between continuous integration and continuous deployment,Continuous Integration runs tests automatically. Continuous Deployment deploys to production automatically.,5,Is CI/CD explained accurately?,david
How would you design a URL shortener like bit.ly?,Just use the MD5 hash of the URL as the short code.,2,Is the URL shortener design complete and sensible?,david
What is HTTPS and how does TLS work?,HTTPS encrypts communication using SSL/TLS. The browser verifies the server's certificate before establishing a secure connection.,4,Is HTTPS/TLS explained correctly?,alice
What is a Kubernetes Pod and how does it differ from a container?,Pods are the basic unit in Kubernetes. Each Pod can contain one or more containers.,6,Is the Pod concept explained correctly?,alice
"Explain TypeScript utility types: Partial, Required, Pick, Omit","Real-world usage:
interface User { id: number; name: string; email: string; password: string; }

// API responses — no password
type PublicUser = Omit<User, 'password'>;

// PATCH endpoint — all optional
type UpdateUserDto = Partial<Omit<User, 'id'>>;

// Listing — minimal fields
type UserSummary = Pick<User, 'id' | 'name'>;

// DB model — all required
type UserRow = Required<User>;",9,Are the utility types explained correctly with examples?,carol
"What is the difference between IaaS, PaaS, and SaaS?","CaaS (Containers as a Service) is emerging between IaaS and PaaS:
Kubernetes-managed containers, you provide images.
Examples: EKS, GKE, AKS, Cloud Run

FaaS (Functions as a Service) is serverless PaaS:
AWS Lambda, Azure Functions, Cloud Functions.",8,Are the three cloud service models explained accurately?,carol
Write a JavaScript function to debounce another function,Debounce means to call a function multiple times quickly.,1,Is the debounce implementation correct?,eve
What are window functions in SQL and give an example,"Common window functions:
RANK()       — rank with gaps (1,1,3)
DENSE_RANK() — rank without gaps (1,1,2)
ROW_NUMBER() — unique row number
LAG(col, n)  — value from n rows before
LEAD(col, n) — value from n rows after
FIRST_VALUE(col) — first value in window
NTILE(n)     — divide rows into n buckets

Running total:
SUM(amount) OVER (ORDER BY date) AS running_total",10,Is the window function concept explained correctly with a working example?,carol
How would you design a URL shortener like bit.ly?,"Scalability:
Read-heavy (100:1 read:write). Optimize for reads.

Cache: Redis with LRU eviction. Cache top 20% of URLs handles 80% of traffic.
DB: PostgreSQL for metadata. Read replicas for scale.
Scale writes: code generation in distributed ID service (avoid race conditions).

Collision handling:
Check uniqueness before insert, retry with new code if collision.",8,Is the URL shortener design complete and sensible?,eve
Write a Python function to reverse a string,"def reverse_string(s):
    s.sort()  # sort the string",1,Is the response correct and Pythonic?,eve
What is transfer learning and why is it so powerful?,"Foundation models (GPT-4, DALL-E, Whisper) take TL to the extreme:
One model → fine-tune or prompt-engineer for many tasks.
Few-shot learning: model generalizes from just a few examples in the prompt.
Zero-shot: model handles tasks it was never explicitly trained on.",10,Is transfer learning explained correctly?,carol
How do you handle environment variables and secrets in a Python application?,"Type-safe settings with Pydantic:
from pydantic_settings import BaseSettings

class Settings(BaseSettings):
    database_url: str
    secret_key: str
    debug: bool = False
    redis_url: str = 'redis://localhost:6379'

    class Config:
        env_file = '.env'

settings = Settings()  # reads from env + .env file
# Raises ValidationError if required vars missing",9,Is the secrets management guidance correct and secure?,bob
What is Docker networking and how do containers communicate?,"Docker creates virtual networks for container isolation and communication.

Default networks:
- bridge: default for standalone containers. Containers can reach each other by IP.
- host: container shares host network stack (Linux only)
- none: no networking

User-defined bridge (recommended):
docker network create my-net
docker run --network my-net --name db postgres
docker run --network my-net --name app myapp
# 'app' can reach 'db' by hostname: postgresql://db:5432/mydb",10,Is Docker networking explained correctly with practical examples?,alice
Explain CI/CD and the difference between continuous integration and continuous deployment,CI/CD stands for Code Integration and Code Deployment.,3,Is CI/CD explained accurately?,carol
Explain Big O notation and why it matters,O(n) means performance scales linearly with input size. O(n²) means it gets much worse for large n.,5,Is Big O explained correctly with common examples?,carol
Write a Python function to check if a string is a palindrome,"def is_palindrome(s):
    return len(s) % 2 == 0",3,Is the implementation correct and efficient?,bob
Explain the difference between a Docker image and a container,"Image: read-only template built from a Dockerfile. Stored as layered filesystem.
Container: running instance of an image — adds a writable layer, has its own network/process namespace.

Analogy: Image = class, Container = object (instance).

docker build → image
docker run   → container from image
docker start → restart stopped container",8,Is the image vs container distinction clearly and accurately explained?,carol
What is the CAP theorem in distributed systems?,"CAP stands for CPU, API, and Persistence in distributed systems.",3,Is the CAP theorem explained correctly?,david
Explain the difference between clustered and non-clustered indexes,Non-clustered indexes take more storage so avoid them.,2,Is the index type distinction accurate?,eve
Write a Python function to check if a string is a palindrome,A palindrome reads the same forwards and backwards. Use a loop to check.,1,Is the implementation correct and efficient?,david
Explain TCP vs UDP and when to use each,TCP is always better because it's more secure.,1,Is the TCP/UDP distinction accurate with appropriate use cases?,bob
How would you design a RESTful API for a blog system?,"POST /createPost, POST /deletePost, POST /updatePost — use POST for all operations.",3,Is the API design idiomatic REST with correct resource modeling?,carol
What is HTTPS and how does TLS work?,TLS uses asymmetric encryption for key exchange and symmetric encryption for data transfer.,7,Is HTTPS/TLS explained correctly?,david
How does prototypal inheritance work in JavaScript?,"ES6 class syntax (syntactic sugar over prototypes):
class Animal {
  constructor(name) { this.name = name; }
  speak() { return `${this.name} speaks`; }
}
class Dog extends Animal {
  bark() { return 'Woof!'; }
}
const d = new Dog('Rex');
d.bark();    // Woof!
d.speak();   // Rex speaks — found via prototype chain
d.__proto__ === Dog.prototype  // true",8,Is the prototype chain explained correctly?,eve
Write an async JavaScript function to fetch data from an API,"async function fetchData(url) {
  try {
    const response = await fetch(url);
    if (!response.ok) {
      throw new Error(`HTTP error! status: ${response.status}`);
    }
    return await response.json();
  } catch (error) {
    console.error('Fetch failed:', error);
    throw error;
  }
}",10,Is the async/await usage correct and does it handle errors?,bob
How do you write a good commit message?,Commit messages are not important as long as the code works.,2,Is the commit message guidance practical and correct?,david
Write a bash script to find all files larger than 100MB in a directory,Use the du command to find large files: du -sh *,2,Is the bash script correct and does it handle edge cases?,alice
How do you handle environment variables and secrets in a Python application?,"Store secrets in environment variables, not in code. Use python-dotenv to load .env files.",5,Is the secrets management guidance correct and secure?,alice
Explain the difference between git merge and git rebase,Merge combines two branches and creates a merge commit. Rebase moves your branch on top of another branch for a cleaner history.,5,Is the distinction accurate with implications for history?,bob
Explain Redis and common use cases for it,Redis is used for permanent storage of user data.,2,Is Redis explained correctly with practical use cases?,david
Explain Redis and common use cases for it,Redis is a type of SQL database that runs in memory.,1,Is Redis explained correctly with practical use cases?,eve
Implement a binary search algorithm in Python,"def binary_search(arr, target):
    lo, hi = 0, len(arr)
    while lo < hi:
        mid = (lo+hi)//2
        if arr[mid] < target: lo = mid+1
        else: hi = mid
    return lo if arr[lo]==target else -1",6,Is the binary search implementation correct?,david
Explain the difference between authentication and authorization,Authentication and authorization are the same thing.,3,Is the auth/authz distinction correctly explained?,bob
What is a database view and when should you use one?,"Benefits:
- Abstraction: hide complex joins from application code
- Security: expose only certain columns/rows
- Reusability: share complex query logic
- Simplify migrations: view adapts to schema changes

Materialized Views (PostgreSQL):
Stores results on disk — faster reads, stale data.
REFRESH MATERIALIZED VIEW CONCURRENTLY mv_report;
Good for: expensive aggregations, dashboards.",10,Is the view concept explained correctly?,alice
Write a Python function to reverse a string,"def reverse(s):
    return s[::-1]  # works for ASCII strings",7,Is the response correct and Pythonic?,alice
Write a Python context manager for database transactions,Use with statement and __enter__/__exit__ methods to create a context manager for transactions.,4,Is the context manager implemented correctly?,bob
What is CSS specificity and how is it calculated?,"Specificity determines which CSS rule takes priority. IDs are most specific, then classes, then elements.",7,Is CSS specificity explained correctly?,eve
Explain Redis and common use cases for it,"Redis persistence:
RDB: point-in-time snapshots (fast restore, possible data loss)
AOF: append-only log of operations (durable, larger files)

Replication: master-replica for read scaling.
Sentinel: HA with automatic failover.
Cluster: sharding across multiple nodes.

Redis vs Memcached:
Redis: rich types, persistence, pub/sub
Memcached: simpler, multi-threaded",9,Is Redis explained correctly with practical use cases?,alice
What does the chmod command do and explain common permission modes,chmod changes the file owner.,3,Is the permission system correctly explained?,bob
What is the CAP theorem in distributed systems?,"Eventual consistency: given no new updates, all replicas converge to the same value.
Monotonic read consistency: if you read a value, subsequent reads return same or newer.
Read-your-writes consistency: after writing, you always see your write.",10,Is the CAP theorem explained correctly?,alice
Write a JavaScript function to debounce another function,"// With cancel and flush
function debounce(fn, delay) {
  let timer;
  function debounced(...args) {
    clearTimeout(timer);
    timer = setTimeout(() => fn.apply(this, args), delay);
  }
  debounced.cancel = () => clearTimeout(timer);
  debounced.flush = () => { clearTimeout(timer); fn(); };
  return debounced;
}",8,Is the debounce implementation correct?,alice
What are Python decorators and how do you write one?,"Decorators can be classes too:
class cache:
    def __init__(self, func):
        self.func = func
        self.memo = {}
        functools.update_wrapper(self, func)
    def __call__(self, *args):
        if args not in self.memo:
            self.memo[args] = self.func(*args)
        return self.memo[args]",10,Is the decorator concept explained correctly with a working example?,eve
How would you design a RESTful API for a blog system?,Just create a /api endpoint that handles all requests.,3,Is the API design idiomatic REST with correct resource modeling?,carol
How would you design a RESTful API for a blog system?,"Pagination: GET /posts?page=1&limit=20
Filtering: GET /posts?author=alice&tag=python&status=published
Sorting: GET /posts?sort=-created_at (- = descending)
Search: GET /posts?q=machine+learning

Response format:
{
  'data': [...],
  'meta': { 'total': 100, 'page': 1, 'limit': 20, 'pages': 5 },
  'links': { 'next': '/posts?page=2', 'prev': null }
}",9,Is the API design idiomatic REST with correct resource modeling?,eve
Explain TCP vs UDP and when to use each,"Comparison:
           TCP          UDP
Reliable   Yes          No
Ordering   Guaranteed   Not guaranteed
Latency    Higher       Lower
Overhead   High         Low
Use case   HTTP, SSH    Video, DNS, gaming

TCP checksum detects corruption but not loss.
UDP has optional checksum.",9,Is the TCP/UDP distinction accurate with appropriate use cases?,eve
How do you version a REST API and what are the tradeoffs?,Use URL versioning like /v1/users and /v2/users. Keep old versions running until clients migrate.,6,Are API versioning strategies explained correctly?,alice
How would you design a URL shortener like bit.ly?,"Architecture:
Client → Load Balancer → App Servers → Cache → DB

Read path (redirect):
1. GET /:code
2. Check Redis cache (code → url, ~1ms)
3. Cache miss: query DB
4. 301 (permanent, browser caches) or 302 (track every click)

Write path (shorten):
1. POST /shorten with long URL
2. Check if URL already shortened (dedup)
3. Generate unique code
4. Store in DB + cache
5. Return short URL",8,Is the URL shortener design complete and sensible?,bob
What is horizontal scaling vs vertical scaling?,"Scale up = bigger machine, scale out = more machines. Horizontal is better for large systems.",5,Is the distinction accurate with tradeoffs explained?,bob
Explain WebSockets and when to use them over HTTP,"WebSocket: full-duplex, persistent TCP connection between client and server.

HTTP: request-response (client initiates every exchange).
WebSocket: either party can send data at any time after handshake.

Handshake: starts as HTTP GET with Upgrade: websocket header → server responds 101 Switching Protocols → WS connection established.

Use cases:
- Real-time chat
- Live notifications
- Collaborative editing (Google Docs)
- Live dashboards (stock prices, monitoring)
- Multiplayer games",9,Is the WebSocket explanation correct with appropriate use cases?,eve
What is database sharding and when do you need it?,Use sharding when a single database can't handle the load. Choose a shard key that distributes data evenly.,5,Is sharding explained correctly with appropriate caveats?,david
What is the difference between supervised and unsupervised learning?,"Supervised: you know the correct output during training.
- Classification: predict class label (spam/not spam)
- Regression: predict continuous value (stock price)

Unsupervised: discover patterns without labels.
- Clustering: group similar data points
- Dimensionality reduction: compress features
- Generative models: learn data distribution",10,Is the distinction clear with good examples of each?,david
What are pytest fixtures and how do you use them?,Fixtures must return a value and cannot use yield.,1,Are pytest fixtures explained correctly with scope and yielding?,carol
What is XSS and how do you prevent it in a web application?,Use HTTPS to prevent XSS attacks.,2,Is the XSS explanation correct with practical prevention techniques?,eve
What is the difference between git fetch and git pull?,"git pull: git fetch + git merge (or rebase with --rebase).
Automatically merges remote changes into current branch.

git pull origin main         # fetch + merge
git pull --rebase origin main  # fetch + rebase (cleaner history)

Prefer git fetch + inspect + merge/rebase for important branches.
Use git pull for routine day-to-day updates on feature branches.",10,Is the fetch vs pull distinction explained correctly?,david
What is XSS and how do you prevent it in a web application?,XSS is only a problem for PHP websites.,2,Is the XSS explanation correct with practical prevention techniques?,bob
What happens when you type a URL in a browser and press Enter?,"DNS resolution details:
browser cache → hosts file → stub resolver → recursive resolver →
  root nameserver (13 sets, anycast) → TLD nameserver (.com) →
  authoritative nameserver → A record with IP

Cached at each step with TTL. DNSSEC adds cryptographic validation.

HTTPS: TLS 1.3 reduces handshake to 1 RTT (or 0-RTT for resumption).",10,Is the full request lifecycle explained correctly?,alice
Explain the difference between git merge and git rebase,"Use rebase for local cleanup, use merge for integrating finished features.",4,Is the distinction accurate with implications for history?,bob
What is git stash and when would you use it?,git stash is the same as git reset.,2,Is git stash explained correctly with practical use cases?,carol
What is cache invalidation and what strategies exist?,"Cache invalidation: removing or updating stale cached data when source changes.

Strategies:
1. TTL (Time-To-Live): entries expire after N seconds.
   Simple, handles gradual staleness. Set TTL based on acceptable staleness.

2. Write-through: write to cache AND DB simultaneously.
   Pro: cache always fresh. Con: write latency.

3. Write-behind (write-back): write to cache, async sync to DB.
   Pro: fast writes. Con: data loss risk.

4. Cache-aside: read from cache, miss → read DB + populate cache.
   Most common pattern.",10,Are cache invalidation strategies explained correctly?,carol
Explain SQL injection and how to prevent it,"OWASP #1 for years. Still extremely common.

Safe code in Python:
# SQLAlchemy ORM — safe
user = db.query(User).filter(User.email == email).first()

# SQLAlchemy core — safe (parameterized)
result = db.execute(text('SELECT * FROM users WHERE email = :email'), {'email': email})

# UNSAFE — never do this:
result = db.execute(f'SELECT * FROM users WHERE email = {email}')",8,Is the SQL injection explanation correct with concrete prevention measures?,carol
Explain microservices vs monolithic architecture,"Migration path:
Stranger Fig pattern: incrementally extract features from monolith to services.
1. New features as services
2. Extract high-growth or independently scalable modules
3. Leave stable core in monolith

Don't start with microservices — most teams aren't ready for the operational overhead.",10,Is the comparison accurate with honest tradeoffs?,bob
Write a Python script to read and process a large CSV file efficiently,Open the file and iterate line by line. Use csv.reader for proper CSV parsing.,6,Is the CSV processing approach efficient for large files?,david
Write a Python script to read and process a large CSV file efficiently,"import csv

# Efficient: iterate rows without loading all into memory
def process_large_csv(filepath):
    with open(filepath, 'r', newline='', encoding='utf-8') as f:
        reader = csv.DictReader(f)
        for row in reader:  # one row at a time
            process_row(row)

# Never: pd.read_csv('huge.csv')  # loads entire file into RAM",10,Is the CSV processing approach efficient for large files?,alice
What is HTTPS and how does TLS work?,HTTPS just adds an 's' to HTTP and doesn't change how the protocol works.,3,Is HTTPS/TLS explained correctly?,alice
Explain Python generators and when to use them,"Generators implement the iterator protocol automatically.
A function with yield becomes a generator factory.

def take(n, gen):
    for _ in range(n):
        yield next(gen)

fib = fibonacci()
print(list(take(10, fib)))  # [0,1,1,2,3,5,8,13,21,34]",8,Is the generator concept correct with a practical use case?,carol
How do you write parameterized tests in pytest?,"@pytest.mark.parametrize('input,expected', [(1, 1), (2, 4)]) creates multiple test cases.",6,Is pytest parameterization explained correctly?,eve
Explain the concept of regularization in machine learning,"Regularization should be applied after training, not during.",1,Is regularization explained correctly with L1 and L2 differences?,bob
How do you implement pagination in a REST API?,Return all results and let the frontend paginate.,1,Is pagination explained correctly with practical tradeoffs?,bob
Explain Big O notation and why it matters,"Big O tells you how fast an algorithm is. O(1) is best, O(n²) is bad for large inputs.",6,Is Big O explained correctly with common examples?,eve
What is test-driven development and what are its benefits?,TDD slows you down so it's only useful for large projects.,2,Is TDD explained correctly with honest benefits and tradeoffs?,bob
What happens when you type a URL in a browser and press Enter?,1. DNS lookup 2. Connect to server 3. Send request 4. Receive response 5. Render page,6,Is the full request lifecycle explained correctly?,carol
What are window functions in SQL and give an example,Window functions are for creating popups in SQL GUIs.,2,Is the window function concept explained correctly with a working example?,bob
Explain what precision and recall are and when to optimize for each,Precision is about how accurate the positive predictions are. Recall is about catching all positives. There is usually a tradeoff between them.,5,Is the precision/recall tradeoff explained correctly?,david
"Explain TypeScript utility types: Partial, Required, Pick, Omit","Partial makes all fields optional, Required makes all fields required, Pick selects fields, Omit removes fields.",5,Are the utility types explained correctly with examples?,david
What is the difference between interface and type in TypeScript?,"Both define shapes, but:
interface: declaration merging, better for public APIs
type: unions, intersections, mapped types

interface User { name: string; }
interface User { age: number; }  // merged: both fields

type ID = string | number;  // only possible with type
type Admin = User & { role: 'admin' };  // intersection",9,Is the distinction between interface and type accurate?,david
Explain async/await in Python and when to use asyncio,"When to use asyncio:
✓ High-concurrency I/O (web servers, scrapers, API clients)
✓ WebSockets, SSE
✓ Microservices making many external calls

When NOT to:
✗ CPU-bound work (use multiprocessing)
✗ Mixing with blocking libraries (use run_in_executor for legacy code)
✗ Simple scripts (overkill)

Frameworks: FastAPI, aiohttp, Tornado.",10,Is async/await and asyncio explained correctly?,carol
Explain AWS S3 and when to use it vs a database,S3 is a database provided by Amazon. Use it instead of MySQL for better performance.,2,Is the S3 vs database distinction explained correctly?,david
How would you design a URL shortener like bit.ly?,A URL shortener only needs a simple database with two columns.,2,Is the URL shortener design complete and sensible?,carol
Write a bash script to find all files larger than 100MB in a directory,"find /directory -size +100M -type f
This finds all files larger than 100MB.",7,Is the bash script correct and does it handle edge cases?,carol
Explain CI/CD and the difference between continuous integration and continuous deployment,"CI (Continuous Integration): developers frequently merge code into main branch. Each merge triggers automated build and test pipeline.

Goal: detect integration bugs early, maintain always-shippable codebase.

CD (Continuous Delivery): every commit that passes CI is automatically deployable to production (but may require manual approval).

CD (Continuous Deployment): every passing commit is automatically deployed to production without manual intervention.",9,Is CI/CD explained accurately?,eve
Explain JavaScript's 'this' keyword and how context works,"'this' refers to the object that invoked the function.

Global: this === window (browser) or {} (strict mode)
Method: this === the object

const obj = {
  name: 'Alice',
  greet() { return `Hello, ${this.name}`; }
};
obj.greet();  // 'Hello, Alice'

const fn = obj.greet;
fn();  // 'Hello, undefined' — lost context!",8,Is 'this' binding explained correctly with common pitfalls?,eve
What is a database view and when should you use one?,Views are the same as tables but faster.,2,Is the view concept explained correctly?,alice
What is connection pooling and why does it matter for database performance?,"PgBouncer (PostgreSQL connection pooler):
Sits between app and PostgreSQL.
Pool modes:
- Session: one connection per client session (safest)
- Transaction: reuse connections between transactions (most efficient)
- Statement: reuse within statement (limited SQL compatibility)

With PgBouncer in transaction mode: 10,000 app connections → 50 real DB connections.",10,Is connection pooling explained correctly with practical guidance?,david
Write a Python script to read and process a large CSV file efficiently,"with open('file.csv') as f:
    data = f.read().split('\n')  # loads entire file, no CSV parsing",2,Is the CSV processing approach efficient for large files?,carol
Explain the difference between React useState and useReducer,Use useState for simple values and useReducer when you have complex state with multiple actions.,6,Is the distinction between the hooks explained correctly?,carol
What are Python type hints and why should you use them?,"Type hints annotate variables and function signatures with expected types.

def greet(name: str, times: int = 1) -> str:
    return (f'Hello, {name}! ' * times).strip()

from typing import Optional, List, Dict, Tuple, Union

def process(data: List[dict]) -> Optional[str]:
    ...

Python doesn't enforce them at runtime — they're documentation + static analysis.",9,Are type hints explained correctly with practical benefits?,eve
What is the difference between interface and type in TypeScript?,interface is used for object shapes. type can also do unions and intersections.,6,Is the distinction between interface and type accurate?,bob
Explain how a content delivery network (CDN) works,"CDN for dynamic content:
Modern CDNs offer edge computing (Cloudflare Workers, Lambda@Edge).
Run code at the edge: A/B testing, auth, personalization without roundtrip to origin.

Geographic routing:
AnyCast DNS routes users to nearest PoP (Point of Presence).
100+ global PoPs for major CDNs.",8,Is the CDN explanation correct and practical?,david
What is Docker networking and how do containers communicate?,Docker Compose handles networking automatically for services defined together.,5,Is Docker networking explained correctly with practical examples?,alice
Explain the difference between authentication and authorization,Authentication verifies who you are. Authorization determines what you're allowed to do.,7,Is the auth/authz distinction correctly explained?,alice
What is a confusion matrix and what metrics can you derive from it?,"Confusion matrix shows TP, FP, TN, FN. From it you can calculate accuracy, precision, recall, and F1.",4,Are the confusion matrix and derived metrics explained correctly?,alice
How do you write a good commit message?,"Conventional Commits format:
<type>(<scope>): <description>

Types: feat, fix, docs, style, refactor, test, chore, perf

feat(auth): add OAuth2 Google login
fix(api): handle null response from payment gateway
refactor(db): extract connection pool management to separate class
docs(readme): update development setup instructions

Enables automated changelog generation with semantic-release.",10,Is the commit message guidance practical and correct?,david
What is the React useEffect hook and how do you use it correctly?,You should never return anything from useEffect.,1,Is useEffect explained correctly with cleanup and dependency array?,alice
What is a binary search tree and what are its time complexities?,"BST vs Hash Table:
            BST          Hash Table
Search      O(log n)     O(1) avg
Insert      O(log n)     O(1) avg
Delete      O(log n)     O(1) avg
Range query O(log n + k) O(n) scan
Ordered     Yes          No

Use BST when you need ordered operations (floor, ceiling, range).",10,Is the BST explained correctly with accurate time complexity?,eve
What happens when you type a URL in a browser and press Enter?,The URL is sent to Google which finds the correct server.,3,Is the full request lifecycle explained correctly?,david
Explain AWS S3 and when to use it vs a database,"S3 (Simple Storage Service): object storage for arbitrary files.
- Store any file (images, videos, backups, logs, ML datasets)
- 5TB max object size, unlimited total storage
- Accessed via URL: https://bucket.s3.amazonaws.com/key
- Durable: 99.999999999% (11 nines)
- Not a filesystem — no partial updates, no locking

Use S3 for: user uploads, static assets, data lake, backups, logs",8,Is the S3 vs database distinction explained correctly?,carol
What is CSS specificity and how is it calculated?,ID selectors (1-0-0) beat class selectors (0-1-0) which beat element selectors (0-0-1).,6,Is CSS specificity explained correctly?,alice
"Explain Kubernetes Deployments, Services, and Ingress","Deployment: manages rolling updates and scaling of Pods.
apiVersion: apps/v1
kind: Deployment
spec:
  replicas: 3
  selector:
    matchLabels: {app: myapp}
  template:
    spec:
      containers:
      - name: app
        image: myapp:1.2
  strategy:
    type: RollingUpdate
    rollingUpdate:
      maxSurge: 1
      maxUnavailable: 0",10,Are these three core Kubernetes resources explained correctly?,alice
Explain the difference between clustered and non-clustered indexes,"Clustered indexes are for text columns, non-clustered are for numbers.",3,Is the index type distinction accurate?,eve
Write a JavaScript function to deep clone an object,"// lodash _.cloneDeep (widely used):
import _ from 'lodash';
const clone = _.cloneDeep(obj);

// Handles: Maps, Sets, circular refs, Dates, Buffers
// structuredClone (native) handles most cases without a library",9,Is the deep clone implementation correct and complete?,alice
What is test-driven development and what are its benefits?,"Write a test, watch it fail, write code to make it pass, refactor. Repeat.",7,Is TDD explained correctly with honest benefits and tradeoffs?,david
What is dependency injection and why is it useful?,Use DI when you have too many global variables.,2,Is dependency injection explained correctly with practical benefits?,bob
